text,label
The Prime Minister announced new reforms to the education policy.,0
NASA has found evidence of water on Mars.,0
Breaking: Celebrity dies in shocking plane crash.,1
Scientists discovered a way to live forever using seaweed extract.,1
Government confirms demonetization of all ₹2000 notes.,0
"Aliens have contacted Earth, claims anonymous source.",1
COVID-19 vaccines found to be 95% effective in trials.,0
Man travels through time and returns to warn about apocalypse.,1
New study reveals that coffee can extend life expectancy.,0
Pyramid in Antarctica believed to be ancient alien base.,1
